Ref,Val,Package,PosX,PosY,Rot,Side
"P1","5034801000","FPC-SMD_5034801000",69.049911,-86.500000,0.000000,top
"P2","5034801000","FPC-SMD_5034801000",69.049911,-92.375044,180.000000,top
