Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,trill-flex-conector_10,flex_short_10,148.500000,-123.250000,0.000000,top
C2,trill-flex-conector_10,flex_short_10,220.500000,-133.500000,-90.000000,top
U1,SKRBAKE010,KEY-SMD_4P-L4.0-W4.8-P3.90-LS4.8,122.819977,-87.000000,0.000000,top
U2,SKRBAKE010,KEY-SMD_4P-L4.0-W4.8-P3.90-LS4.8,132.000000,-115.500000,0.000000,top
U3,SKRBAKE010,KEY-SMD_4P-L4.0-W4.8-P3.90-LS4.8,124.500000,-108.000000,0.000000,top
U4,SKRBAKE010,KEY-SMD_4P-L4.0-W4.8-P3.90-LS4.8,117.000000,-115.500000,0.000000,top
U5,SKRBAKE010,KEY-SMD_4P-L4.0-W4.8-P3.90-LS4.8,124.500000,-123.000000,0.000000,top
